(0, 36504)
(1, 36504)
(2, 32161)
(3, 32161)
(4, 33201)
(5, 85863)
(6, 132901)
(7, 88089)
(8, 204752)
(9, 204398)
(10, 198492)
(11, 231742)
(12, 230944)
(13, 179430)
(14, 178061)
(15, 209954)
(16, 195614)
(17, 148564)
(18, 148564)
(19, 169826)
(20, 170054)
(21, 354211)
(22, 481159)
(23, 426249)
(24, 424945)
(25, 426730)
(26, 407161)
(27, 406903)
(28, 388703)
(29, 378462)
(30, 375494)
(31, 375491)
(32, 374147)
(33, 385217)
(34, 364430)
(35, 386847)
(36, 405688)
(37, 380715)
(38, 385625)
(39, 378689)
(40, 362883)
(41, 302712)
(42, 348684)
(43, 373326)
(44, 370211)
(45, 356570)
(46, 356570)
(47, 361693)
(48, 352222)
(49, 315603)
(50, 345489)
(51, 334820)
(52, 412240)
(53, 405339)
(54, 380923)
(55, 377256)
(56, 366096)
(57, 369568)
(58, 495821)
(59, 494453)
(60, 437938)
(61, 481241)
(62, 454733)
(63, 460508)
(64, 460537)
(65, 441421)
(66, 419371)
(67, 417995)
(68, 417018)
(69, 381042)
(70, 381266)
(71, 381440)
(72, 384926)
(73, 350668)
(74, 347832)
(75, 347987)
(76, 369403)
(77, 459635)
(78, 511577)
(79, 501608)
(80, 428117)
(81, 422915)
(82, 573101)
(83, 571630)
(84, 585090)
(85, 575736)
(86, 587126)
(87, 594606)
(88, 564142)
(89, 558073)
(90, 558073)
(91, 558987)
(92, 559125)
(93, 560294)
(94, 560476)
(95, 571154)
(96, 588201)
(97, 556560)
(98, 516570)
(99, 442125)
(100, 509782)
(101, 585398)
(102, 576430)
(103, 612818)
(104, 610034)
(105, 590822)
(106, 522787)
(107, 522073)
(108, 513577)
(109, 559788)
(110, 512804)
(111, 487708)
(112, 489432)
(113, 547265)
(114, 549065)
(115, 484424)
(116, 466982)
(117, 503977)
(118, 575081)
(119, 564731)
(120, 555407)
(121, 570707)
(122, 563945)
(123, 560463)
(124, 561093)
(125, 566919)
(126, 593518)
(127, 549058)
(128, 551370)
(129, 602764)
(130, 619848)
(131, 595218)
(132, 530514)
(133, 524508)
(134, 482096)
(135, 487800)
(136, 514930)
(137, 523648)
(138, 503938)
(139, 675249)
(140, 705196)
(141, 739759)
(142, 487396)
(143, 526200)
(144, 530659)
(145, 524348)
(146, 699788)
(147, 572957)
(148, 578779)
(149, 517084)
(150, 517084)
(151, 560688)
(152, 561998)
(153, 561827)
(154, 551150)
(155, 551255)
(156, 551191)
(157, 551191)
(158, 532910)
(159, 533081)
(160, 462291)
(161, 459736)
(162, 463646)
(163, 441924)
(164, 455370)
(165, 409971)
(166, 418589)
(167, 452989)
(168, 442223)
(169, 440416)
(170, 440370)
(171, 387866)
(172, 367454)
(173, 367472)
(174, 484728)
(175, 371804)
(176, 371007)
(177, 392509)
(178, 394184)
(179, 397724)
(180, 380301)
(181, 424336)
(182, 424336)
(183, 670939)
(184, 676011)
(185, 566646)
(186, 531660)
(187, 533628)
(188, 541233)
(189, 456030)
(190, 457202)
(191, 429937)
(192, 427849)
(193, 427849)
(194, 425223)
(195, 421021)
(196, 421435)
(197, 424719)
(198, 422861)
(199, 422471)
(200, 402355)
(201, 402245)
(202, 315096)
(203, 387666)
(204, 389430)
(205, 376002)
(206, 402840)
(207, 394544)
(208, 382928)
(209, 333834)
(210, 356311)
(211, 249433)
(212, 265099)
(213, 316337)
(214, 306384)
(215, 365935)
(216, 391943)
(217, 379748)
(218, 388589)
(219, 461221)
(220, 452022)
(221, 456432)
(222, 467063)
(223, 468202)
(224, 438161)
(225, 439283)
(226, 359096)
(227, 368473)
(228, 360317)
(229, 363960)
(230, 366600)
(231, 492052)
(232, 483814)
(233, 473725)
(234, 470137)
(235, 579287)
(236, 562957)
(237, 563262)
(238, 564002)
(239, 560313)
(240, 552612)
(241, 559857)
(242, 584961)
(243, 573368)
(244, 566178)
(245, 524052)
(246, 516008)
(247, 523354)
(248, 456108)
(249, 512590)
(250, 505664)
(251, 312663)
(252, 314259)
(253, 314465)
(254, 319426)
(255, 262389)
(256, 260708)
(257, 260708)
(258, 260712)
(259, 255261)
(260, 257254)
(261, 279832)
(262, 280982)
(263, 277802)
(264, 274208)
(265, 277024)
(266, 254080)
(267, 254086)
(268, 568009)
(269, 557020)
(270, 557020)
(271, 556868)
(272, 539820)
(273, 539242)
(274, 541256)
(275, 480566)
(276, 548229)
(277, 549574)
(278, 525356)
(279, 483123)
(280, 456935)
(281, 492980)
(282, 495052)
(283, 508061)
(284, 501823)
(285, 519640)
(286, 518048)
(287, 498690)
(288, 498240)
(289, 503728)
(290, 488399)
(291, 411303)
(292, 415305)
(293, 413551)
(294, 404607)
(295, 436627)
(296, 435859)
(297, 425300)
(298, 435204)
(299, 543903)
